summoner_name,rank,lp,season_points,wins,losses
EG jojopyun,1,845,0,121,74
GG Olleh,2,755,0,109,68
C9 Zven,3,720,0,103,62
EG Kaori,4,715,0,111,79
EG Srtty,5,700,0,105,70
EST Mia,6,630,0,97,68
FLY Kumo,7,625,0,115,107
BOG RJS,7,625,0,125,125
TL Armao,9,615,0,96,69
CLG Dhokla,10,610,0,90,58
EG Tomio,11,570,0,101,88
DIG River,12,560,0,73,35
GG Tony Top,13,540,0,99,90
TL Yeon,14,490,0,72,46
ISG ADD,15,480,0,62,28
FLY Tomo,16,465,0,71,49
SN Ariendel,17,460,0,82,72
FLY Josedeodo,17,460,0,78,64
GG Lost,19,450,0,63,36
TL Hans sama,20,440,0,64,40
CLG Breezy,20,440,0,80,72
100 Kenvi,20,440,0,65,42
Lourlo,23,415,0,91,99
TSM Takeover,24,405,0,79,80
Smoothie,25,390,0,74,70
AZE Dimitry,25,390,0,62,48
FLY Johnsun,27,380,0,55,34
IMT Arrow,27,380,0,61,46
TL Eyla,29,375,0,55,35
100 Busio,30,370,0,62,53
GG Ablazeolive,31,365,0,63,53
TL CoreJJ,32,355,0,56,41
GG Licorice,33,340,0,50,32
ISG Jelly,34,335,0,51,35
IMT Destiny,34,335,0,58,50
100 Tenacity,34,335,0,55,46
100 Abbedagge,34,335,0,50,33
FLY Diamond,34,335,0,71,75
NOT Yukino,39,330,0,57,48
GG Pridestalkr,40,325,0,75,85
C9 Malice,41,310,0,48,34
FLY Philip,42,305,0,63,67
R7 Cepted,43,300,0,51,42
C9 Darshan,44,295,0,60,64
100X Sword,45,290,0,57,60
Stunt,45,290,0,56,56
IMA Winston,47,280,0,71,87
TL Santorin,47,280,0,44,35
MU Niles,49,270,0,51,49
XTN Keine,49,270,0,48,44
Gweiss,51,265,0,47,42
DIG Neo,52,260,0,34,16
CLG Jenkins,53,255,0,39,29
UCI duong pro,54,250,0,46,46
IMT PowerOfEvil,54,250,0,35,21
C9 Summit,56,245,0,35,23
EST Bvoy,57,240,0,64,82
100 JimieN,57,240,0,41,35
TL Bjergsen,57,240,0,38,29
R7 SoHwan,60,235,0,50,55
EG Impact,60,235,0,44,41
CLG Luger,60,235,0,48,50
EST Leza,60,235,0,40,33
CLG Palafox,64,230,0,51,60
100 Closer,64,230,0,36,26
EG Vulcan,66,225,0,34,24
TL Bwipo,66,225,0,38,31
AK Luci,68,220,0,50,58
TSM Shenyi,69,210,0,44,46
AK CaD,70,205,0,32,26
AZE Lonely,71,200,0,26,12
100X Insanity,72,195,0,40,43
EGP Sketch,72,195,0,39,45
FLY Spirax,72,195,0,36,33
IMT Pretty,75,190,0,43,48
C9 Isles,75,190,0,31,26
Svenskeren,75,190,0,30,22
IMT Revenge,78,185,0,40,44
IMT Concept,78,185,0,42,48
C9 Blaber,78,185,0,25,13
FLY toucouille,81,180,0,42,49
TSM V1per,81,180,0,32,28
TSM Instinct,83,170,0,50,66
GG ry0ma,83,170,0,28,22
IMT Xerxe,83,170,0,27,20
C9 Berserker,86,165,0,27,22
TL Haeri,86,165,0,37,47
EG Inspired,86,165,0,29,25
100 huhi,89,160,0,40,50
AK Hoglet,89,160,0,26,22
Jensen,89,160,0,32,36
R7 Oddie,92,155,0,25,20
WC Strompest,93,150,0,37,48
EST Grell,93,150,0,36,42
GG Stixxay,93,150,0,22,19
CLG RoseThorn,96,145,0,22,15
EST Lyg,96,145,0,45,65
FLY aphromoo,98,140,0,31,35
DIG JayJ,99,135,0,21,15
INF cody,100,130,0,27,29
100 FBI,100,130,0,27,29
IMT Dardoch,102,125,0,20,15
C9 Copy,102,125,0,15,5
IMT Joey,104,120,0,32,40
TSM Tactical,104,120,0,20,16
IMT WildTurtle,106,115,0,22,21
TL Bradley,106,115,0,37,51
GET Fix,106,115,0,39,57
CLG Contractz,109,110,0,13,4
NOT 5fire,109,110,0,17,12
100X Array,111,105,0,31,42
100 Wixxi,111,105,0,21,23
Keith,111,105,0,30,42
WC Minui,114,100,0,16,14
GET Bardito,115,95,0,20,23
3P Messages,115,95,0,14,11
NOT Gryffinn,117,90,0,24,36
INF Ackerman,117,90,0,18,20
GG Chime,119,85,0,16,15
IMT Chad,120,80,0,17,18
R7 Warangelus,120,80,0,35,54
TSM Hyper,120,80,0,11,7
XTN Archer,120,80,0,29,46
FLY Yuuji,120,80,0,28,40
CLG Prismal,120,80,0,21,26
UCI Kim Down,126,75,0,11,8
TA Nightstar,126,75,0,23,35
TA Chookies,126,75,0,12,10
100 Ssumday,126,75,0,23,33
TG Trixter,130,70,0,10,7
RAD Raheen,130,70,0,11,8
C9 Qit0ng,132,65,0,19,28
TSM Keaiduo,132,65,0,7,3
TA Dec0y,134,60,0,20,33
SN Saico,134,60,0,15,20
EG Soligo,134,60,0,25,40
DARE Enigma,134,60,0,9,7
R7 Slow,134,60,0,18,25
WC Crazy Goose,134,60,0,28,44
AK Pancake,140,55,0,16,25
Pobelter,140,55,0,29,50
CLG Poome,140,55,0,23,35
AZE 5kid,140,55,0,12,13
C9 k1ng,140,55,0,10,10
TSM Spica,140,55,0,8,5
DIG Spawn,140,55,0,9,12
EG Danny,140,55,0,9,7
Solo,140,55,0,8,5
BOG Inori,149,50,0,7,10
BOG B3nji,149,50,0,9,8
XTN Horus,149,50,0,8,6
WIN Kenji,152,45,0,16,25
WC Jeremy,152,45,0,17,27
UCI Cinna,152,45,0,8,7
NOT Scoooped,152,45,0,6,3
DIG FakeGod,152,45,0,10,11
WIN FrostForest,152,45,0,7,6
DIG eXyu,152,45,0,12,16
XTN camilo,152,45,0,12,15
Doublelift,152,45,0,17,26
100X Keel,152,45,0,26,44
BAY Seranok,162,40,0,19,35
DIG Blue,162,40,0,7,6
INF Kz,162,40,0,15,24
DIG DARKWINGS,162,40,0,11,18
100 Gamsu,162,40,0,8,12
TSM Yursan,162,40,0,10,16
TSM Huni,162,40,0,5,3
DNHA Dinka,162,40,0,4,0
AK Skeeto,162,40,0,14,23
3P Zamudo,162,40,0,8,16
GTC Vakin,162,40,0,8,9
GTC duoking,173,35,0,5,3
EST Acce,173,35,0,39,76
UCI Misterdot,173,35,0,5,7
MU Shady,173,35,0,7,8
100X Sniper,173,35,0,5,4
CLG Triple,173,35,0,7,8
R7 Daiky,173,35,0,9,18
WC Toasty,173,35,0,4,2
WC 0 n a t,173,35,0,4,3
MU APA,173,35,0,8,12
100X donbray,183,30,0,6,6
RAD Lightpulse,183,30,0,11,19
IMA shochi,183,30,0,6,6
TL Rhino,183,30,0,4,2
GG Violet,183,30,0,4,3
NOT Dragoon,188,25,0,4,3
DNHA Svmmy,188,25,0,50,101
WC Griffin,188,25,0,17,33
DARE BMFX,188,25,0,3,1
XTN Zerito,188,25,0,10,29
UCI dtro18,188,25,0,13,22
SN im baekho,188,25,0,8,11
NOT Jishuka,188,25,0,7,9
IMA Trevor,188,25,0,8,14
GG Akaadian,188,25,0,5,6
MUS Getback,198,20,0,4,6
BAY Bejjaniii,198,20,0,5,6
DARE Censored,198,20,0,3,6
UCI sahori,198,20,0,3,5
BAY Dragonmin,198,20,0,5,9
IMA animegirl,198,20,0,3,5
INF Jauny,198,20,0,6,9
Qit0ng,198,20,0,2,0
EGP Faisal,198,20,0,3,2
TG Qwacker,198,20,0,2,2
EGP Perry,208,15,0,5,10
IMA Meech,208,15,0,2,7
UCI Berik,208,15,0,2,1
SN Firetheft,208,15,0,2,3
Goldenglue,208,15,0,5,8
DIG Eclipse,208,15,0,3,4
ISG seiya,208,15,0,3,5
ISG FIare,208,15,0,2,3
Sneaky,208,15,0,2,2
NR Pynt,208,15,0,3,5
TG Doxa,218,10,0,1,0
AK Zothve,218,10,0,27,60
ISG Gavotto,218,10,0,2,2
RAD Bluster,218,10,0,1,1
EG SkyTec,218,10,0,15,36
GET Plugo,218,10,0,2,3
AZE Aloned,218,10,0,11,20
C9 Fudge,218,10,0,1,0
R7 Ceo,218,10,0,3,4
ISU DrewDozer,218,10,0,1,2
CIyde,218,10,0,7,22
3P Munchy,218,10,0,2,3
WC Rhino,218,10,0,1,0
BOG Tuesday,218,10,0,1,3
WC O n a t,218,10,0,2,5
BOG dshao,218,10,0,2,2
YU Wally,218,10,0,1,1
AnDa,218,10,0,1,0
DARE Blossoms,236,5,0,4,10
WIN Avano,236,5,0,3,7
RAD Crimson,236,5,0,1,1
XTN Tyr,236,5,0,3,8
3P Lunar2,236,5,0,1,1
BAY Braine,241,0,0,2,5
MUS Kind,241,0,0,3,6
TA Nemesis9,241,0,0,2,10
MU Azog,241,0,0,9,22
MU Odd Orange,241,0,0,2,12
DARE Snow2,241,0,0,0,4
TG Cozy,241,0,0,0,1
NOT Blazze,241,0,0,1,3
WIN Saint GRIMM,241,0,0,0,9
DARE Leemo,241,0,0,3,9
WIN Mordio,241,0,0,5,14
SN Pseudo,241,0,0,0,5
BAY SophistSage,241,0,0,1,2
WIN Vex,241,0,0,8,17
AZE Straight,241,0,0,4,8
EGP Daption,241,0,0,1,6
Mash,241,0,0,0,2
100X Mist,241,0,0,0,1
EGP LEO99,241,0,0,1,4
GET Fs,241,0,0,1,9
DIG Biofrost,241,0,0,2,6
TG Links,241,0,0,0,2
C9 Winsome,241,0,0,0,3
INF Brayaron,241,0,0,4,12
INF SolidSnake,241,0,0,1,11
GG Iconic,241,0,0,0,2
ISG Follow,241,0,0,3,7
MU Aizo,241,0,0,1,4
ISU Tempos,241,0,0,2,5
WC Rapid,241,0,0,1,8
Min,241,0,0,0,1
3P MikeYeung,241,0,0,0,3
GET Warangelus,241,0,0,2,10
ISU Yen,241,0,0,2,9
GTC SiddyWiddy,241,0,0,0,2
